"_DSC0001.JPG - 34853: 37560
"
"_DSC0007.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0008.JPG - 34853: 33684
"
"_DSC0008.JPG - 296: 2
"
"_DSC0008.JPG - 34665: 352
"
"_DSC0008.JPG - 271: NIKON CORPORATION
"
"_DSC0008.JPG - 272: NIKON D3100
"
"_DSC0008.JPG - 305: Ver.1.00 
"
"_DSC0008.JPG - 274: 1
"
"_DSC0008.JPG - 306: 2021:11:02 12:07:30
"
"_DSC0008.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0008.JPG - 531: 2
"
"_DSC0008.JPG - 282: 300.0
"
"_DSC0008.JPG - 283: 300.0
"
"_DSC0008.JPG - 318: (0.313, 0.329)
"
"_DSC0008.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0009.JPG - 34853: 33660
"
"_DSC0009.JPG - 296: 2
"
"_DSC0009.JPG - 34665: 352
"
"_DSC0009.JPG - 271: NIKON CORPORATION
"
"_DSC0009.JPG - 272: NIKON D3100
"
"_DSC0009.JPG - 305: Ver.1.00 
"
"_DSC0009.JPG - 274: 1
"
"_DSC0009.JPG - 306: 2021:11:02 16:07:31
"
"_DSC0009.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0009.JPG - 531: 2
"
"_DSC0009.JPG - 282: 300.0
"
"_DSC0009.JPG - 283: 300.0
"
"_DSC0009.JPG - 318: (0.313, 0.329)
"
"_DSC0009.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0011.JPG - 34853: 34600
"
"_DSC0011.JPG - 296: 2
"
"_DSC0011.JPG - 34665: 352
"
"_DSC0011.JPG - 271: NIKON CORPORATION
"
"_DSC0011.JPG - 272: NIKON D3100
"
"_DSC0011.JPG - 305: Ver.1.00 
"
"_DSC0011.JPG - 274: 1
"
"_DSC0011.JPG - 306: 2021:11:03 16:07:31
"
"_DSC0011.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0011.JPG - 531: 2
"
"_DSC0011.JPG - 282: 300.0
"
"_DSC0011.JPG - 283: 300.0
"
"_DSC0011.JPG - 318: (0.313, 0.329)
"
"_DSC0011.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0013.JPG - 34853: 33728
"
"_DSC0013.JPG - 296: 2
"
"_DSC0013.JPG - 34665: 352
"
"_DSC0013.JPG - 271: NIKON CORPORATION
"
"_DSC0013.JPG - 272: NIKON D3100
"
"_DSC0013.JPG - 305: Ver.1.00 
"
"_DSC0013.JPG - 274: 1
"
"_DSC0013.JPG - 306: 2021:11:04 12:07:32
"
"_DSC0013.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0013.JPG - 531: 2
"
"_DSC0013.JPG - 282: 300.0
"
"_DSC0013.JPG - 283: 300.0
"
"_DSC0013.JPG - 318: (0.313, 0.329)
"
"_DSC0013.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0014.JPG - 34853: 37712
"
"_DSC0014.JPG - 296: 2
"
"_DSC0014.JPG - 34665: 352
"
"_DSC0014.JPG - 271: NIKON CORPORATION
"
"_DSC0014.JPG - 272: NIKON D3100
"
"_DSC0014.JPG - 305: Ver.1.00 
"
"_DSC0014.JPG - 274: 1
"
"_DSC0014.JPG - 306: 2021:11:04 16:07:32
"
"_DSC0014.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0014.JPG - 531: 2
"
"_DSC0014.JPG - 282: 300.0
"
"_DSC0014.JPG - 283: 300.0
"
"_DSC0014.JPG - 318: (0.313, 0.329)
"
"_DSC0014.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0015.JPG - 34853: 37896
"
"_DSC0015.JPG - 296: 2
"
"_DSC0015.JPG - 34665: 352
"
"_DSC0015.JPG - 271: NIKON CORPORATION
"
"_DSC0015.JPG - 272: NIKON D3100
"
"_DSC0015.JPG - 305: Ver.1.00 
"
"_DSC0015.JPG - 274: 1
"
"_DSC0015.JPG - 306: 2021:11:05 12:07:33
"
"_DSC0015.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0015.JPG - 531: 2
"
"_DSC0015.JPG - 282: 300.0
"
"_DSC0015.JPG - 283: 300.0
"
"_DSC0015.JPG - 318: (0.313, 0.329)
"
"_DSC0015.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0016.JPG - 34853: 37548
"
"_DSC0016.JPG - 296: 2
"
"_DSC0016.JPG - 34665: 352
"
"_DSC0016.JPG - 271: NIKON CORPORATION
"
"_DSC0016.JPG - 272: NIKON D3100
"
"_DSC0016.JPG - 305: Ver.1.00 
"
"_DSC0016.JPG - 274: 1
"
"_DSC0016.JPG - 306: 2021:11:05 16:07:33
"
"_DSC0016.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0016.JPG - 531: 2
"
"_DSC0016.JPG - 282: 300.0
"
"_DSC0016.JPG - 283: 300.0
"
"_DSC0016.JPG - 318: (0.313, 0.329)
"
"_DSC0016.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0017.JPG - 34853: 33388
"
"_DSC0017.JPG - 296: 2
"
"_DSC0017.JPG - 34665: 352
"
"_DSC0017.JPG - 271: NIKON CORPORATION
"
"_DSC0017.JPG - 272: NIKON D3100
"
"_DSC0017.JPG - 305: Ver.1.00 
"
"_DSC0017.JPG - 274: 1
"
"_DSC0017.JPG - 306: 2021:11:06 16:07:34
"
"_DSC0017.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0017.JPG - 531: 2
"
"_DSC0017.JPG - 282: 300.0
"
"_DSC0017.JPG - 283: 300.0
"
"_DSC0017.JPG - 318: (0.313, 0.329)
"
"_DSC0017.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0018.JPG - 34853: 37584
"
"_DSC0018.JPG - 296: 2
"
"_DSC0018.JPG - 34665: 352
"
"_DSC0018.JPG - 271: NIKON CORPORATION
"
"_DSC0018.JPG - 272: NIKON D3100
"
"_DSC0018.JPG - 305: Ver.1.00 
"
"_DSC0018.JPG - 274: 1
"
"_DSC0018.JPG - 306: 2021:11:07 12:07:35
"
"_DSC0018.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0018.JPG - 531: 2
"
"_DSC0018.JPG - 282: 300.0
"
"_DSC0018.JPG - 283: 300.0
"
"_DSC0018.JPG - 318: (0.313, 0.329)
"
"_DSC0018.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0019.JPG - 34853: 37812
"
"_DSC0019.JPG - 296: 2
"
"_DSC0019.JPG - 34665: 352
"
"_DSC0019.JPG - 271: NIKON CORPORATION
"
"_DSC0019.JPG - 272: NIKON D3100
"
"_DSC0019.JPG - 305: Ver.1.00 
"
"_DSC0019.JPG - 274: 1
"
"_DSC0019.JPG - 306: 2021:11:07 16:07:35
"
"_DSC0019.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0019.JPG - 531: 2
"
"_DSC0019.JPG - 282: 300.0
"
"_DSC0019.JPG - 283: 300.0
"
"_DSC0019.JPG - 318: (0.313, 0.329)
"
"_DSC0019.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0020.JPG - 34853: 37548
"
"_DSC0020.JPG - 296: 2
"
"_DSC0020.JPG - 34665: 352
"
"_DSC0020.JPG - 271: NIKON CORPORATION
"
"_DSC0020.JPG - 272: NIKON D3100
"
"_DSC0020.JPG - 305: Ver.1.00 
"
"_DSC0020.JPG - 274: 1
"
"_DSC0020.JPG - 306: 2021:11:08 16:07:36
"
"_DSC0020.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0020.JPG - 531: 2
"
"_DSC0020.JPG - 282: 300.0
"
"_DSC0020.JPG - 283: 300.0
"
"_DSC0020.JPG - 318: (0.313, 0.329)
"
"_DSC0020.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0021.JPG - 34853: 33900
"
"_DSC0021.JPG - 296: 2
"
"_DSC0021.JPG - 34665: 352
"
"_DSC0021.JPG - 271: NIKON CORPORATION
"
"_DSC0021.JPG - 272: NIKON D3100
"
"_DSC0021.JPG - 305: Ver.1.00 
"
"_DSC0021.JPG - 274: 1
"
"_DSC0021.JPG - 306: 2021:11:09 12:07:37
"
"_DSC0021.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0021.JPG - 531: 2
"
"_DSC0021.JPG - 282: 300.0
"
"_DSC0021.JPG - 283: 300.0
"
"_DSC0021.JPG - 318: (0.313, 0.329)
"
"_DSC0021.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0022.JPG - 34853: 33940
"
"_DSC0022.JPG - 296: 2
"
"_DSC0022.JPG - 34665: 352
"
"_DSC0022.JPG - 271: NIKON CORPORATION
"
"_DSC0022.JPG - 272: NIKON D3100
"
"_DSC0022.JPG - 305: Ver.1.00 
"
"_DSC0022.JPG - 274: 1
"
"_DSC0022.JPG - 306: 2021:11:09 16:07:37
"
"_DSC0022.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0022.JPG - 531: 2
"
"_DSC0022.JPG - 282: 300.0
"
"_DSC0022.JPG - 283: 300.0
"
"_DSC0022.JPG - 318: (0.313, 0.329)
"
"_DSC0022.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0023.JPG - 34853: 33756
"
"_DSC0023.JPG - 296: 2
"
"_DSC0023.JPG - 34665: 352
"
"_DSC0023.JPG - 271: NIKON CORPORATION
"
"_DSC0023.JPG - 272: NIKON D3100
"
"_DSC0023.JPG - 305: Ver.1.00 
"
"_DSC0023.JPG - 274: 1
"
"_DSC0023.JPG - 306: 2021:11:10 16:07:38
"
"_DSC0023.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0023.JPG - 531: 2
"
"_DSC0023.JPG - 282: 300.0
"
"_DSC0023.JPG - 283: 300.0
"
"_DSC0023.JPG - 318: (0.313, 0.329)
"
"_DSC0023.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
"_DSC0024.JPG - 34853: 37800
"
"_DSC0024.JPG - 296: 2
"
"_DSC0024.JPG - 34665: 352
"
"_DSC0024.JPG - 271: NIKON CORPORATION
"
"_DSC0024.JPG - 272: NIKON D3100
"
"_DSC0024.JPG - 305: Ver.1.00 
"
"_DSC0024.JPG - 274: 1
"
"_DSC0024.JPG - 306: 2021:11:11 16:07:39
"
"_DSC0024.JPG - 529: (0.299, 0.587, 0.114)
"
"_DSC0024.JPG - 531: 2
"
"_DSC0024.JPG - 282: 300.0
"
"_DSC0024.JPG - 283: 300.0
"
"_DSC0024.JPG - 318: (0.313, 0.329)
"
"_DSC0024.JPG - 319: (0.64, 0.33, 0.21, 0.71, 0.15, 0.06)
"
